
mes; FABIO; Ana; 
 10/15; 39; 29; 
 11/15; 210; 187; 
 12/15; 631; 427; 
 1/16; 3748; 2527; 
 2/16; 311; 232; 
 3/16; 614; 406; 
 4/16; 889; 647; 0; 
 5/16; 707; 561; 0; 
 6/16; 965; 764; 0; 
 7/16; 68; 60; 0; 
 8/16; 102; 76; 0; 
 9/16; 277; 211; 0; 
 10/16; 53; 43; 0; 
 11/16; 190; 176; 0; 
 12/16; 335; 328; 0; 
 1/17; 113; 99; 0; 
 2/17; 42; 38; 0; 
 4/17; 12; 11; 0; 
 5/17; 100; 53; 0; 
 7/17; 14; 10; 0; 
 8/17; 218; 171; 0; 
nomes; FABIO; Ana; As; 
total; 9635; 7041; 1; 

horas; FABIO; Ana; As; 
0;472; 326; 0; 
1;248; 202; 0; 
2;123; 84; 0; 
3;75; 36; 0; 
4;6; 0; 0; 
5;11; 7; 0; 
6;9; 12; 0; 
7;35; 43; 0; 
8;57; 58; 0; 
9;165; 134; 0; 
10;114; 122; 0; 
11;144; 127; 0; 
12;224; 173; 0; 
13;226; 159; 0; 
14;555; 343; 0; 
15;668; 508; 0; 
16;270; 221; 1; 
17;499; 363; 0; 
18;670; 466; 0; 
19;761; 554; 0; 
20;1035; 766; 0; 
21;1293; 838; 0; 
22;1107; 877; 0; 
23;872; 638; 0; 
