
mes; Roner; Menor; Chacal; Demom; FABIO; Pincel; Meitcher; 
 1; 84; 71; 298; 18; 340; 12; 4; 
 2; 1369; 714; 2314; 280; 2643; 235; 244; 
 3; 1741; 624; 3630; 418; 4213; 166; 1089; 
 4; 824; 249; 1369; 252; 1340; 241; 277; 
 5; 617; 69; 1984; 212; 2076; 253; 561; 
 6; 207; 7; 380; 78; 371; 53; 143; 
 7; 744; 298; 1298; 151; 1634; 308; 242; 
 8; 681; 317; 1333; 289; 1251; 125; 98; 
nomes; Roner; Menor; Chacal; Demom; FABIO; Pincel; Meitcher; 
total; 6267; 2348; 12605; 1698; 13869; 1394; 2658; 

horas; Roner; Menor; Chacal; Demom; FABIO; Pincel; Meitcher; 
0;404; 150; 743; 86; 817; 123; 178; 
1;336; 89; 1111; 109; 1238; 66; 258; 
2;197; 52; 685; 66; 934; 45; 213; 
3;52; 20; 555; 54; 727; 66; 21; 
4;6; 5; 206; 138; 469; 19; 68; 
5;32; 0; 43; 64; 134; 3; 38; 
6;11; 3; 27; 4; 13; 2; 29; 
7;1; 2; 7; 7; 14; 1; 10; 
8;9; 20; 14; 0; 16; 15; 1; 
9;30; 8; 47; 20; 25; 0; 8; 
10;18; 51; 126; 4; 90; 0; 0; 
11;135; 38; 123; 35; 126; 10; 69; 
12;272; 42; 463; 23; 411; 8; 86; 
13;433; 119; 638; 75; 447; 52; 168; 
14;553; 147; 753; 65; 498; 156; 147; 
15;658; 178; 1026; 82; 957; 93; 175; 
16;566; 231; 859; 69; 1005; 122; 97; 
17;303; 157; 771; 60; 875; 30; 160; 
18;337; 198; 838; 43; 1026; 112; 98; 
19;364; 196; 614; 128; 831; 77; 101; 
20;322; 185; 814; 225; 829; 74; 228; 
21;372; 193; 730; 108; 781; 75; 145; 
22;367; 75; 673; 71; 797; 133; 142; 
23;490; 191; 741; 163; 809; 112; 219; 
