
mes; FABIO; Panda; As; 
 5/16; 1548; 1176; 0; 
 6/16; 3036; 2322; 0; 
 7/16; 1390; 1044; 0; 
 8/16; 1366; 1040; 0; 
 9/16; 607; 602; 0; 
 10/16; 1253; 1204; 0; 
 11/16; 415; 399; 0; 
 12/16; 1322; 1079; 0; 
 1/17; 1979; 1484; 0; 
 2/17; 104; 97; 0; 
 3/17; 154; 153; 0; 
 4/17; 91; 113; 0; 
 5/17; 139; 144; 0; 
 6/17; 306; 242; 0; 
 7/17; 1745; 1251; 0; 
 8/17; 470; 368; 0; 
nomes; FABIO; Panda; As; 
total; 15920; 12710; 1; 

horas; FABIO; Panda; As; 
0;1839; 1465; 0; 
1;1683; 1219; 0; 
2;1043; 751; 0; 
3;853; 638; 0; 
4;159; 131; 0; 
5;88; 51; 0; 
6;116; 72; 0; 
7;52; 36; 0; 
8;123; 134; 0; 
9;33; 51; 0; 
10;198; 157; 0; 
11;223; 193; 0; 
12;325; 333; 0; 
13;310; 349; 0; 
14;497; 314; 0; 
15;539; 423; 0; 
16;461; 386; 0; 
17;552; 487; 1; 
18;1031; 789; 0; 
19;809; 610; 0; 
20;907; 750; 0; 
21;1021; 851; 0; 
22;1183; 1011; 0; 
23;1881; 1518; 0; 
