bubble_sort, bubble_sort_ja_ordenado, bubble_sort_inverso, merge_sort, merge_sort_ja_ordenado, merge_sort_inverso, quickSort, quickSort_ja_ordenado, quickSort_inverso
1000,3.475333,3.355000,3.388000,0.276000,0.257000,-0.007000,0.080333,0.078000,0.077000
2000,14.809001,15.901000,15.551000,0.679000,0.563000,-0.007000,0.188667,0.217000,0.199000
3000,32.179333,31.753000,31.443001,0.955000,0.880000,-0.008000,0.285000,0.290000,0.277000
4000,57.559666,57.493999,59.198002,1.291667,1.130000,-0.006000,0.396333,0.594000,0.368000
5000,92.776001,91.648003,91.813004,2.004000,1.450000,-0.007000,0.570333,0.533000,0.509000
6000,136.935333,132.085007,136.307007,1.942000,2.034000,-0.010000,0.675333,0.662000,0.616000
7000,178.951660,166.858994,179.317001,2.889000,2.228000,-0.006000,0.917667,0.726000,0.711000
8000,177.875656,91.975998,97.591003,1.608000,1.020000,-0.003000,0.575333,0.338000,0.331000
9000,117.792000,114.114998,114.918999,1.132667,1.139000,-0.003000,0.429333,0.423000,0.422000
10000,143.393326,141.460999,148.826996,1.310000,1.317000,-0.004000,0.510000,0.517000,0.464000
11000,172.475662,172.996994,184.535004,1.512333,1.632000,-0.007000,0.612333,0.594000,0.495000
12000,283.541656,490.503998,499.470001,2.557333,3.749000,-0.007000,0.795667,1.285000,1.291000
13000,439.907318,310.291992,480.269012,3.343667,3.088000,-0.005000,1.031333,1.113000,1.068000
14000,427.158691,505.165985,718.107971,2.750667,5.576000,-0.012000,0.934667,2.744000,2.749000
15000,791.649963,763.440979,348.846985,5.333333,1.980000,-0.003000,1.687667,0.662000,0.675000
16000,616.762024,467.014008,373.459015,3.621667,2.234000,-0.007000,1.223667,0.737000,0.735000
17000,508.136627,417.178009,418.459991,3.325000,2.272000,-0.005000,1.240000,0.855000,0.847000
18000,481.722321,490.589996,482.040009,2.961667,2.362000,-0.008000,1.125000,1.079000,0.891000
19000,519.356689,506.217010,515.658997,2.502333,2.466000,-0.003000,0.960667,0.936000,0.958000
20000,1238.074097,567.625977,608.406006,5.706333,2.672000,-0.003000,2.071333,0.963000,0.983000
21000,1196.355713,1468.588989,843.669006,5.750333,4.595000,-0.016000,2.649000,1.671000,1.573000
22000,1353.791016,1646.522949,836.455017,7.467000,2.923000,-0.003000,2.250667,1.203000,1.057000
23000,1016.859680,735.052979,948.523987,5.935333,3.092000,-0.003000,2.332333,1.100000,1.123000
24000,1290.713013,1392.020020,814.148987,6.458000,4.689000,-0.003000,2.217333,1.150000,1.148000
25000,1331.605347,871.853027,948.786011,6.729666,7.680000,-0.007000,2.641000,2.797000,2.672000
26000,1693.411011,935.234985,1913.588989,5.241000,8.579000,-0.017000,1.885333,3.051000,3.080000
27000,1528.724243,1321.421997,1521.767944,4.502666,6.109000,-0.011000,1.535667,1.352000,1.289000
28000,2145.479004,1977.869995,2952.268066,6.309333,9.547000,-0.013000,2.270667,3.310000,3.369000
29000,2913.776611,1837.667969,2544.350098,9.116666,7.789000,-0.007000,3.084333,2.738000,2.252000
30000,1758.440796,2313.706055,2652.601074,6.308000,4.185000,-0.008000,2.195333,1.439000,1.419000
31000,2261.571045,1335.832031,1371.859985,6.921000,4.306000,-0.010000,2.522667,1.501000,1.469000
32000,2226.569580,1501.900024,2004.686035,5.268000,4.498000,-0.006000,1.778000,1.497000,1.507000
33000,2589.391602,2669.772949,2585.410889,10.875000,4.529000,-0.008000,2.916333,1.558000,1.647000
34000,2657.615967,2206.699951,3187.129883,9.154333,6.971000,-0.008000,3.422000,2.510000,2.454000
35000,2537.946045,3006.714111,1864.447021,11.690000,10.965000,-0.019000,3.647000,4.228000,4.225000
36000,3347.346680,1839.949951,2925.811035,5.098000,12.450000,-0.018000,1.883667,4.703000,4.574000
37000,2499.672607,3278.740967,2989.997070,6.796000,11.808000,-0.019000,2.576333,4.405000,4.408000
38000,3103.819336,3542.544922,3243.152100,10.414001,5.450000,-0.010000,3.950666,2.147000,2.056000
39000,3038.043701,2370.479004,2683.846924,7.038333,5.770000,-0.008000,2.630666,2.078000,2.065000
40000,3319.633545,3614.329102,2817.372070,11.051666,10.419000,-0.014000,3.116333,3.985000,4.031000
41000,4226.338379,3247.704102,3266.814941,12.616666,5.820000,-0.005000,4.527000,2.140000,2.127000
42000,5770.841797,5610.386230,4821.148926,15.418334,14.471000,-0.019000,6.053000,5.552000,5.352000
43000,5435.022949,3643.746094,3510.558105,11.596667,6.363000,-0.005000,4.251667,2.207000,2.361000
44000,5504.011230,5799.247070,5987.815918,11.560000,6.233000,-0.006000,4.140000,2.227000,2.266000
45000,4355.415527,3225.287109,4898.027832,8.631001,14.373000,-0.017000,3.153333,5.384000,5.978000
46000,4050.405029,6041.306152,5506.387207,15.566333,16.351000,-0.023000,5.295666,9.342000,8.673000
47000,4476.778809,4967.689941,3152.896973,6.645334,7.472000,-0.010000,2.363000,3.896000,3.907000
48000,4670.682129,4057.251953,5394.355957,10.144000,6.762000,-0.004000,3.554333,2.385000,2.400000
49000,5321.812012,4246.155762,6079.392090,13.641335,6.958000,-0.012000,4.782667,2.453000,2.476000
50000,6741.735840,6853.013184,4341.252930,10.977000,17.438999,-0.019000,4.410334,6.506000,7.480000
51000,6215.597656,4391.378906,4268.166016,11.453334,21.716000,-0.014000,4.350000,4.790000,4.753000
52000,4412.659668,5766.916016,8231.400391,11.588000,7.532000,-0.004000,4.471000,2.690000,2.652000
53000,6675.679688,4859.107910,6051.506836,18.080999,7.518000,-0.005000,7.100666,2.682000,2.734000
54000,6448.656738,4776.907227,7820.886230,11.450667,7.869000,-0.009000,4.046000,2.733000,2.751000
55000,7877.428223,7223.485840,7872.474121,13.819000,20.698999,-0.024000,4.897000,6.866000,7.031000
56000,6096.849121,6134.461914,7685.032227,8.085000,15.766000,-0.020000,2.844333,9.464000,9.400000
57000,7773.470215,7066.926758,5176.038086,12.158000,8.652000,-0.011000,4.321333,2.857000,2.889000
58000,8457.166992,7972.195801,9407.476562,9.287999,8.807000,-0.012000,3.305333,2.945000,2.974000
59000,8378.812500,8571.772461,8176.238770,17.653999,18.129999,-0.017000,6.020334,4.489000,4.371000
60000,7516.136719,10863.653320,9471.419922,12.201000,8.708000,-0.010000,4.325666,3.087000,3.045000
61000,9696.667969,8299.940430,11321.168945,18.109333,8.859000,-0.008000,6.284667,3.062000,3.036000
62000,10936.741211,7954.297852,10581.849609,23.542665,36.550999,-0.021000,8.389667,7.672000,7.596000
63000,9721.980469,9522.225586,8179.624023,11.331333,9.142000,-0.011000,6.402667,3.159000,3.183000
64000,11172.827148,11251.939453,8868.837891,20.560667,24.122000,-0.019000,7.404667,8.140000,8.173000
65000,9579.262695,6615.067871,9151.025391,13.063667,22.632999,-0.017000,4.855667,7.952000,8.238000
66000,9264.188477,10545.441406,11055.843750,9.543667,9.408000,-0.010000,3.696000,3.711000,3.683000
67000,9515.355469,11188.750977,9547.767578,22.603003,10.257000,-0.014000,8.879000,3.831000,4.403000
68000,9697.991211,11283.510742,11775.288086,12.992000,26.759001,-0.055000,4.974333,11.029000,9.896000
69000,12284.245117,13330.388672,9920.352539,23.993002,40.763000,-0.023000,9.710334,10.913000,10.097000
70000,11618.485352,9180.468750,9906.966797,14.283334,10.270000,-0.012000,5.449333,3.881000,3.917000
71000,10859.598633,12263.921875,9679.005859,19.903999,10.718000,-0.012000,9.723000,4.144000,4.067000
72000,11417.570312,9607.400391,14326.688477,17.222666,16.090000,-0.013000,6.678000,3.979000,3.946000
73000,11931.390625,13679.048828,8607.280273,29.744331,10.604000,-0.011000,11.754666,3.987000,3.959000
74000,12025.835938,15612.847656,11086.342773,21.468332,10.957000,-0.011000,8.525333,4.128000,4.086000
75000,11359.049805,11618.675781,14765.637695,11.029667,30.066999,-0.020000,4.232666,10.363000,10.196000
76000,14960.739258,15418.563477,11086.954102,24.097334,11.226000,-0.012000,10.911000,4.211000,4.163000
77000,14224.304688,12624.577148,12978.553711,16.991667,28.299999,-0.025000,6.297333,11.453000,11.485000
78000,13265.551758,14150.847656,13703.791016,11.367000,12.697000,-0.011000,4.425667,4.315000,4.259000
79000,14354.800781,16453.990234,13340.054688,17.895666,12.826000,-0.014000,6.593000,4.290000,4.320000
80000,15048.445312,11199.208008,9739.418945,22.000666,12.050000,-0.009000,7.278000,4.438000,4.756000
81000,14511.684570,15584.754883,15463.379883,19.629333,11.965000,-0.012000,7.442000,4.785000,4.651000
82000,13670.051758,11886.944336,15911.652344,18.166666,30.746000,-0.021000,6.918334,12.131000,11.605000
83000,15941.613281,16037.585938,13414.950195,13.714665,12.162000,-0.012000,5.076000,4.557000,4.533000
84000,17122.244141,12967.375977,20547.562500,23.108332,30.464001,-0.021000,8.756333,11.223000,11.292000
85000,18794.435547,14858.112305,15857.584961,16.954000,21.474001,-0.015000,6.241666,7.904000,7.904000
86000,17864.736328,20966.259766,15145.221680,24.186998,26.726999,-0.014000,9.817666,11.434000,11.405000
87000,18129.117188,18224.078125,15224.344727,31.917999,13.021000,-0.011000,12.514000,4.792000,4.798000
88000,17097.882812,21321.115234,20420.908203,13.006667,26.686001,-0.021000,4.759667,8.420000,8.695000
89000,20278.439453,19942.375000,18791.060547,24.394333,34.425999,-0.026000,9.543000,11.950000,12.015000
90000,18706.830078,20664.367188,21131.404297,24.546667,13.965000,-0.010000,9.258333,4.951000,4.832000
91000,20328.421875,20968.988281,20893.443359,18.817999,14.280000,-0.010000,4.905333,4.905000,5.123000
92000,17666.345703,22851.761719,22752.392578,20.763334,38.195000,-0.034000,7.657667,13.629000,14.323000
93000,22489.943359,18660.349609,14903.621094,33.659000,13.773000,-0.010000,12.267001,4.993000,4.960000
94000,21404.708984,21197.722656,17552.578125,26.055334,14.373000,-0.011000,9.773000,4.983000,5.162000
95000,19919.933594,20625.384766,18254.152344,30.017664,14.002000,-0.011000,10.006001,5.065000,5.070000
96000,22304.224609,16463.607422,19241.580078,27.748335,14.112000,-0.011000,9.396333,5.071000,5.185000
97000,22833.951172,19987.513672,23020.943359,32.642002,34.368000,-0.024000,12.676334,11.972000,11.767000
98000,22886.439453,15854.754883,22525.255859,28.181000,14.293000,-0.010000,10.636666,5.137000,5.128000
99000,24433.208984,20265.224609,23665.650391,33.371998,14.877000,-0.012000,11.685000,5.425000,5.371000
100000,23510.750000,27229.320312,22270.541016,15.143001,47.610001,-0.024000,5.519333,13.512000,13.412000
101000,22091.615234,23446.662109,19599.314453,14.975666,16.198000,-0.011000,5.477333,8.499000,5.940000
102000,26154.041016,22150.804688,23639.019531,39.382336,50.161999,-0.020000,13.735667,13.485000,13.597000
103000,20597.275391,22105.996094,22604.410156,26.472334,15.501000,-0.012000,9.804667,5.620000,5.555000
104000,21775.486328,24192.353516,25065.412109,27.402334,15.577000,-0.011000,10.519334,5.679000,5.629000
105000,26229.226562,22263.056641,29576.855469,25.472000,17.393999,-0.014000,9.166667,14.362000,13.999000
106000,25916.220703,27402.591797,26174.953125,35.131664,16.278999,-0.012000,12.852000,5.760000,5.689000
107000,27053.687500,29496.585938,23928.554688,27.189001,15.995000,-0.012000,11.251667,5.846000,5.786000
108000,26117.906250,32389.466797,23690.916016,16.363333,16.437000,-0.011000,5.959667,5.856000,5.771000
109000,28141.150391,24999.009766,20288.609375,23.488333,36.707001,-0.018000,8.563000,13.191000,13.098000
110000,26619.880859,28818.576172,30243.410156,27.688667,16.864000,-0.015000,9.863000,6.736000,6.029000
111000,28750.318359,33653.812500,28518.212891,32.555668,16.573000,-0.011000,9.481999,5.946000,5.930000
112000,27561.013672,30579.236328,29576.255859,34.632999,20.086000,-0.019000,9.251333,5.961000,5.975000
113000,26452.556641,33963.531250,30355.304688,30.632666,18.052999,-0.017000,9.345000,6.847000,6.198000
114000,30905.251953,23924.984375,33923.347656,33.707668,16.945999,-0.011000,13.124001,6.118000,6.051000
115000,27229.689453,32387.111328,32894.171875,32.346333,21.333000,-0.015000,9.033000,6.288000,6.279000
116000,29066.681641,32821.753906,29405.738281,29.337667,17.473000,-0.012000,10.862000,6.288000,6.228000
117000,30725.154297,27523.810547,31076.238281,26.983999,42.800999,-0.020000,9.768666,15.322000,15.327000
118000,30964.828125,28536.076172,30708.343750,44.945332,34.520000,-0.016000,16.661333,12.306000,12.264000
119000,29244.023438,33126.734375,30706.667969,29.610001,45.584999,-0.020000,13.252666,15.662000,15.528000
120000,31569.513672,36420.308594,34255.613281,24.530664,18.493000,-0.012000,8.949000,6.445000,6.499000
121000,33779.398438,31028.884766,32333.742188,38.772335,20.478001,-0.011000,13.651334,6.418000,9.383000
122000,29228.859375,30634.339844,34691.679688,26.162001,21.149000,-0.012000,10.272000,6.842000,6.520000
123000,31457.060547,31697.783203,36482.253906,18.778334,18.365999,-0.011000,6.715000,6.583000,6.555000
