bubble_sort, bubble_sort_ja_ordenado, bubble_sort_inverso, merge_sort, merge_sort_ja_ordenado, merge_sort_inverso, quickSort, quickSort_ja_ordenado, quickSort_inverso
1000,0.001333,0.001000,0.002000,0.000000,0.000000,0.000000,0.000333,0.000000,0.000000
2000,0.005000,0.005000,0.006000,0.000333,0.000000,0.000000,0.000333,0.000000,0.000000
3000,0.011333,0.012000,0.012000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
4000,0.021000,0.021000,0.021000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000
5000,0.032333,0.033000,0.033000,0.001000,0.001000,0.000000,0.000000,0.001000,0.000000
6000,0.047000,0.046000,0.047000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000
7000,0.063667,0.063000,0.063000,0.001000,0.001000,0.000000,0.000000,0.001000,0.000000
8000,0.082667,0.083000,0.084000,0.001333,0.001000,0.000000,0.000000,0.000000,0.001000
9000,0.104667,0.104000,0.105000,0.001000,0.001000,0.000000,0.000333,0.000000,0.000000
10000,0.129667,0.130000,0.130000,0.001333,0.001000,0.000000,0.000667,0.000000,0.001000
11000,0.156333,0.156000,0.157000,0.001667,0.002000,0.000000,0.001000,0.001000,0.000000
12000,0.186333,0.186000,0.186000,0.002000,0.002000,0.000000,0.000667,0.001000,0.000000
13000,0.217000,0.218000,0.217000,0.002000,0.002000,0.000000,0.000667,0.000000,0.001000
14000,0.252333,0.254000,0.257000,0.002333,0.002000,0.000000,0.000667,0.001000,0.001000
15000,0.291000,0.291000,0.290000,0.002667,0.002000,0.000000,0.000333,0.000000,0.001000
16000,0.330667,0.329000,0.333000,0.002667,0.002000,0.000000,0.001000,0.001000,0.000000
17000,0.376667,0.376000,0.387000,0.002667,0.002000,0.000000,0.000667,0.001000,0.001000
18000,0.422000,0.423000,0.422000,0.002667,0.003000,0.000000,0.000667,0.001000,0.001000
19000,0.465667,0.465000,0.468000,0.003000,0.003000,0.000000,0.000667,0.001000,0.001000
20000,0.519667,0.518000,0.517000,0.003667,0.004000,0.000000,0.000667,0.001000,0.000000
21000,0.569333,0.570000,0.571000,0.003333,0.003000,0.000000,0.001000,0.001000,0.001000
22000,0.623000,0.623000,0.624000,0.004000,0.004000,0.000000,0.000667,0.001000,0.001000
23000,0.680667,0.684000,0.680000,0.003667,0.004000,0.000000,0.001000,0.001000,0.001000
24000,0.745667,0.739000,0.744000,0.003667,0.004000,0.000000,0.001000,0.001000,0.001000
25000,0.806333,0.805000,0.840000,0.004000,0.004000,0.000000,0.001000,0.001000,0.001000
26000,0.897000,0.881000,0.876000,0.004667,0.004000,0.000000,0.001000,0.001000,0.002000
27000,0.953333,0.964000,1.007000,0.005000,0.005000,0.000000,0.001000,0.002000,0.002000
28000,1.046667,1.032000,1.037000,0.004667,0.005000,0.000000,0.001333,0.002000,0.001000
29000,1.103000,1.097000,1.116000,0.005000,0.004000,0.000000,0.001333,0.002000,0.001000
30000,1.185333,1.177000,1.177000,0.004667,0.005000,0.000000,0.001000,0.001000,0.001000
31000,1.256667,1.252000,1.279000,0.005333,0.005000,0.000000,0.001333,0.001000,0.002000
32000,1.343333,1.337000,1.339000,0.005000,0.005000,-0.001000,0.001333,0.001000,0.001000
33000,1.423667,1.420000,1.428000,0.005667,0.005000,0.000000,0.001333,0.001000,0.002000
34000,1.510333,1.514000,1.514000,0.005333,0.005000,0.000000,0.001667,0.001000,0.002000
35000,1.605333,1.598000,1.613000,0.005667,0.005000,0.000000,0.001333,0.002000,0.002000
36000,1.712000,1.713000,1.706000,0.006000,0.005000,0.000000,0.002000,0.002000,0.002000
37000,1.794000,1.789000,1.796000,0.006333,0.006000,0.000000,0.001333,0.002000,0.001000
38000,1.888333,1.887000,1.893000,0.006333,0.006000,0.000000,0.001667,0.002000,0.001000
39000,1.987667,1.986000,1.997000,0.006333,0.006000,0.000000,0.001667,0.002000,0.001000
40000,2.095000,2.092000,2.101000,0.006333,0.006000,0.000000,0.002000,0.001000,0.002000
41000,2.200333,2.201000,2.207000,0.007333,0.006000,0.000000,0.002000,0.002000,0.002000
42000,2.310667,2.308000,2.322000,0.007000,0.007000,0.000000,0.002000,0.002000,0.001000
43000,2.428333,2.422000,2.456000,0.007000,0.007000,0.000000,0.002000,0.002000,0.002000
44000,2.544667,2.527000,2.550000,0.007333,0.007000,0.000000,0.002333,0.002000,0.002000
45000,2.684667,2.725000,2.669000,0.007667,0.008000,0.000000,0.002333,0.002000,0.002000
46000,2.821333,2.782000,2.833000,0.007333,0.008000,0.000000,0.002333,0.002000,0.002000
47000,2.914333,2.914000,2.952000,0.007667,0.007000,0.000000,0.002333,0.002000,0.002000
48000,3.015333,3.017000,3.025000,0.008667,0.008000,0.000000,0.002333,0.003000,0.002000
49000,3.220000,3.218000,3.143000,0.008333,0.008000,0.000000,0.002000,0.002000,0.003000
50000,3.266333,3.286000,3.283000,0.008000,0.008000,0.000000,0.002000,0.002000,0.003000
51000,3.387667,3.378000,3.418000,0.008000,0.008000,0.000000,0.002667,0.002000,0.002000
52000,3.521000,3.557000,3.651000,0.008333,0.009000,0.000000,0.002667,0.003000,0.002000
53000,3.716333,3.683000,3.693000,0.008667,0.008000,0.000000,0.002000,0.003000,0.002000
54000,3.800667,3.803000,3.868000,0.009000,0.009000,0.000000,0.002667,0.003000,0.002000
55000,3.954333,3.944000,4.004000,0.009000,0.009000,0.000000,0.002333,0.003000,0.002000
56000,4.087334,4.094000,4.150000,0.009000,0.009000,0.000000,0.002333,0.002000,0.003000
57000,4.240333,4.253000,4.315000,0.009333,0.009000,0.000000,0.002667,0.002000,0.003000
58000,4.383333,4.435000,4.462000,0.010000,0.009000,0.000000,0.003000,0.003000,0.002000
59000,4.597000,4.540000,4.597000,0.010000,0.010000,0.000000,0.003333,0.002000,0.003000
60000,4.684333,4.684000,4.757000,0.009667,0.010000,0.000000,0.002333,0.002000,0.003000
61000,4.835333,4.834000,4.918000,0.010000,0.010000,0.000000,0.002667,0.003000,0.003000
62000,5.004667,5.002000,5.073000,0.010000,0.011000,0.000000,0.002667,0.003000,0.003000
63000,5.163333,5.160000,5.244000,0.010000,0.010000,0.000000,0.002667,0.003000,0.003000
64000,5.333666,5.326000,5.410000,0.011333,0.010000,0.000000,0.003000,0.003000,0.003000
