mes, fabio, chacal, roner, menor, demon, meitcher, pincel 
10,405,237,442,169,143,0,176
11,423,644,1112,562,336,0,284
12,1118,1061,905,363,430,0,551
mes, fabio, chacal, roner, menor, demon, meitcher, pincel 
1,494,522,325,212,265,0,323
2,277,471,145,131,119,0,92
4,254,476,191,338,138,128,225
5,682,874,818,598,301,20,207
6,1057,1257,704,287,392,13,339
7,997,633,323,81,104,41,159
8,949,619,467,73,82,11,343
9,2077,1197,1043,220,160,95,549
10,2554,2529,989,394,259,167,358
11,348,310,72,33,34,54,4
,,,,,,,
, fabio, chacal, roner, menor, demon, meitcher, pincel 
mensagens,11287,10520,7464,3428,2729,475,3606
