mes, fabio, chacal, roner, menor, demon, meitcher, pincel 
10,405,237,442,169,143,0,176,
11,423,644,1112,562,336,0,284,
12,1118,1061,905,363,430,0,551,
1,494,522,325,212,265,0,323,
2,277,471,145,131,119,0,92,
4,254,476,191,338,138,128,225,
5,682,874,818,598,301,20,207,
6,1057,1257,704,287,392,13,339,
7,997,633,323,81,104,41,159,
8,949,619,467,73,82,11,343,
9,2077,1197,1043,220,160,95,549,
10,2554,2529,989,394,259,167,358,
11,348,310,72,33,34,54,4,
total,11287,10520,7464,3428,2729,475,3606,

0,1048,877,521,194,222,19,372,
1,545,321,496,141,154,56,257,
2,620,288,270,57,84,0,158,
3,459,282,135,30,48,0,95,
4,494,312,228,0,33,0,55,
5,294,192,34,0,52,0,13,
6,54,46,12,2,21,0,14,
7,0,49,23,13,7,33,3,
8,3,15,4,6,10,0,17,
9,25,19,11,22,18,0,13,
10,79,80,17,26,12,1,5,
11,37,124,61,59,15,14,44,
12,87,194,146,63,52,5,120,
13,184,251,280,138,123,17,149,
14,563,438,321,190,144,8,132,
15,1005,747,639,223,114,60,131,
16,855,970,700,286,248,21,168,
17,1071,875,540,231,174,43,161,
18,797,1093,601,350,176,64,321,
19,592,827,415,312,263,25,308,
20,743,558,569,275,178,18,161,
21,419,617,326,214,259,48,178,
22,624,641,523,296,163,46,343,
23,1037,1014,664,333,193,51,392,
