
mes; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; 
 11; 1274; 616; 744; 1701; 461; 122; 97; 
 12; 3589; 835; 2793; 3293; 652; 444; 343; 
 1; 2119; 795; 1610; 2427; 288; 229; 175; 
 2; 2314; 714; 1369; 2643; 235; 244; 280; 
total; 2435; 367; 1118; 3178; 99; 1031; 326; 

horas; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; 
0;826; 233; 501; 887; 195; 200; 43; 
1;1171; 221; 683; 1252; 200; 335; 94; 
2;755; 141; 290; 980; 108; 185; 53; 
3;484; 33; 46; 635; 58; 3; 35; 
4;134; 13; 15; 313; 9; 2; 67; 
5;111; 12; 10; 95; 7; 0; 20; 
6;55; 23; 4; 158; 7; 19; 73; 
7;93; 67; 2; 45; 8; 1; 28; 
8;161; 82; 4; 49; 0; 5; 35; 
9;81; 45; 17; 25; 3; 5; 0; 
10;71; 25; 18; 43; 5; 3; 0; 
11;121; 17; 119; 59; 3; 80; 28; 
12;410; 57; 290; 308; 6; 88; 5; 
13;567; 103; 367; 211; 120; 163; 51; 
14;702; 131; 506; 604; 92; 120; 56; 
15;812; 211; 817; 792; 104; 79; 77; 
16;875; 322; 872; 1159; 55; 75; 72; 
17;655; 264; 633; 886; 79; 131; 81; 
18;656; 241; 392; 842; 142; 32; 36; 
19;568; 223; 362; 674; 73; 57; 33; 
20;488; 225; 389; 730; 61; 114; 58; 
21;631; 263; 353; 888; 83; 72; 80; 
22;457; 135; 350; 667; 122; 81; 52; 
23;847; 240; 594; 940; 195; 220; 144; 
