
mes; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; ‪+55; 
 11; 1274; 616; 744; 1701; 461; 122; 97; 36; 
mes; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; ‪+55; Você; 
 12; 3589; 835; 2793; 3293; 652; 444; 343; 2; 1; 
mes; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; ‪+55; Você; 
 1; 2119; 795; 1610; 2427; 288; 229; 175; 1; 0; 
mes; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; ‪+55; Você; 
 2; 2314; 714; 1369; 2643; 235; 244; 280; 1; 0; 
total; 2435; 367; 1118; 3178; 99; 1031; 326; 0; 4; 

horas; Chacal; Menor; Roner; Fabio; Pincel; Meitcher; Demom; ‪+55; Você; 
0;826; 233; 501; 887; 195; 200; 43; 0; 0; 
1;1171; 221; 683; 1252; 200; 335; 94; 0; 0; 
2;755; 141; 290; 980; 108; 185; 53; 0; 0; 
3;484; 33; 46; 635; 58; 3; 35; 0; 0; 
4;134; 13; 15; 313; 9; 2; 67; 0; 0; 
5;111; 12; 10; 95; 7; 0; 20; 0; 0; 
6;55; 23; 4; 158; 7; 19; 73; 0; 1; 
7;93; 67; 2; 45; 8; 1; 28; 0; 0; 
8;161; 82; 4; 49; 0; 5; 35; 0; 0; 
9;81; 45; 17; 25; 3; 5; 0; 0; 0; 
10;71; 25; 18; 43; 5; 3; 0; 0; 0; 
11;121; 17; 119; 59; 3; 80; 28; 0; 0; 
12;410; 57; 290; 308; 6; 88; 5; 4; 0; 
13;567; 103; 367; 211; 120; 163; 51; 0; 0; 
14;702; 131; 506; 604; 92; 120; 56; 0; 0; 
15;812; 211; 817; 792; 104; 79; 77; 1; 0; 
16;875; 322; 872; 1159; 55; 75; 72; 10; 0; 
17;655; 264; 633; 886; 79; 131; 81; 17; 0; 
18;656; 241; 392; 842; 142; 32; 36; 1; 0; 
19;568; 223; 362; 674; 73; 57; 33; 0; 0; 
20;488; 225; 389; 730; 61; 114; 58; 3; 0; 
21;631; 263; 353; 888; 83; 72; 80; 0; 0; 
22;457; 135; 350; 667; 122; 81; 52; 3; 0; 
23;847; 240; 594; 940; 195; 220; 144; 1; 4; 
